title,link,text,date
学校召开党委常委（扩大）会议专题听取院级党组织书记抓基层党建工作述职,../info/1003/111211.htm,学校召开党委常委（扩大）会议专题听取院级党组织书记抓基层党建工作述职,2025.01.16
学校领导班子开展集体学习 为开好民主生活会打牢思想基础,../info/1003/111191.htm,学校领导班子开展集体学习 为开好民主生活会打牢思想基础,2025.01.13
绵阳市西财经济研究会成立十周年庆祝大会暨2024年年会成功举行,../info/1003/111381.htm,绵阳市西财经济研究会成立十周年庆祝大会暨2024年年会成功举行,2025.01.12
中国管理学原创性教材建设研讨会在我校顺利召开,../info/1003/111221.htm,中国管理学原创性教材建设研讨会在我校顺利召开,2025.01.12
学校与香港理工大学校际合作协议签署暨聘书颁发仪式举行,../info/1003/111201.htm,学校与香港理工大学校际合作协议签署暨聘书颁发仪式举行,2025.01.10
成渝地区双城经济圈建设五周年（2020－2025年）学术研讨会暨图书发布会在北京举办,../info/1003/111151.htm,成渝地区双城经济圈建设五周年（2020－2025年）学术研讨会暨图书发布...,2025.01.04
学校与新华通讯社四川分社签署全面合作协议,../info/1003/111141.htm,学校与新华通讯社四川分社签署全面合作协议,2025.01.04
学校召开青年教师发展座谈会暨“财菁思想汇”教师发展交流平台项目立项工作会,../info/1003/112411.htm,学校召开青年教师发展座谈会暨“财菁思想汇”教师发展交流平台项目立...,2025.03.27
学校召开智能金融教育部工程研究中心2025年验收专项工作启动会,../info/1003/112371.htm,学校召开智能金融教育部工程研究中心2025年验收专项工作启动会,2025.03.27
学校召开2025年关工委工作会,../info/1003/112391.htm,学校召开2025年关工委工作会,2025.03.26
学校召开审计委员会第五次（扩大）会议,../info/1003/112501.htm,学校召开审计委员会第五次（扩大）会议,2025.03.26
川渝地区马克思主义学院发展联盟2025年年会在我校举行,../info/1003/112271.htm,川渝地区马克思主义学院发展联盟2025年年会在我校举行,2025.03.22
九三学社西南财经大学支社召开换届大会选举产生新一届委员会,../info/1003/112191.htm,九三学社西南财经大学支社召开换届大会选举产生新一届委员会,2025.03.21
西南财经大学第二十八次学生代表大会、第二十一次研究生代表大会召开,../info/1003/112161.htm,西南财经大学第二十八次学生代表大会、第二十一次研究生代表大会召开,2025.03.21
学校与高顿集团签署校企合作框架协议,../info/1003/112151.htm,学校与高顿集团签署校企合作框架协议,2025.03.20
Financial Innovation（《金融创新》）入选2025中科院分区一区TOP期刊,../info/1003/112181.htm,Financial Innovation（《金融创新》）入选2025中科院分区一区TOP期刊,2025.03.20
学校党委研究部署深入贯彻中央八项规定精神学习教育工作,../info/1003/112101.htm,学校党委研究部署深入贯彻中央八项规定精神学习教育工作,2025.03.19
学校召开党委教师工作委员会会议暨师德师风领域廉政工作联席会,../info/1003/112131.htm,学校召开党委教师工作委员会会议暨师德师风领域廉政工作联席会,2025.03.19
香港岭南大学副校长一行访问我校,../info/1003/112111.htm,香港岭南大学副校长一行访问我校,2025.03.19
